iter	Passed	Remaining
334	1546	3070
335	1551	3066
336	1555	3060
337	1559	3054
338	1563	3048
339	1569	3046
340	1574	3042
341	1580	3041
342	1586	3039
343	1590	3033
344	1594	3027
345	1600	3025
346	1604	3019
347	1608	3014
348	1613	3009
349	1618	3005
350	1622	2999
351	1626	2993
352	1631	2990
353	1635	2985
354	1639	2979
355	1643	2973
356	1649	2970
357	1653	2964
358	1658	2960
359	1663	2958
360	1667	2952
361	1672	2947
362	1676	2941
363	1682	2939
364	1687	2934
365	1691	2929
366	1696	2926
367	1701	2921
368	1705	2916
369	1710	2912
370	1715	2907
371	1719	2902
372	1723	2896
373	1728	2892
374	1734	2890
375	1739	2886
376	1744	2882
377	1748	2876
378	1752	2871
379	1756	2866
380	1761	2862
381	1765	2856
382	1769	2851
383	1775	2848
384	1780	2844
385	1784	2838
386	1788	2833
387	1794	2830
388	1798	2825
389	1802	2819
390	1808	2816
391	1812	2811
392	1816	2806
393	1821	2801
394	1826	2797
395	1830	2791
396	1834	2786
397	1840	2783
398	1843	2777
399	1848	2772
400	1853	2769
401	1859	2766
402	1863	2761
403	1868	2755
404	1873	2752
405	1877	2746
406	1881	2741
407	1886	2737
408	1892	2734
409	1896	2728
410	1900	2723
411	1906	2720
412	1910	2715
413	1915	2710
414	1920	2707
415	1924	2701
416	1929	2697
417	1935	2694
418	1940	2690
419	1944	2685
420	1949	2681
421	1954	2677
422	1958	2671
423	1962	2666
424	1968	2663
425	1973	2658
426	1976	2652
427	1981	2648
428	1987	2645
429	1992	2640
430	1996	2636
431	2002	2632
432	2006	2628
433	2011	2623
434	2016	2619
435	2021	2614
436	2025	2610
437	2031	2606
438	2035	2600
439	2039	2595
440	2043	2590
441	2049	2587
442	2053	2582
443	2057	2577
444	2063	2572
445	2067	2568
446	2071	2562
447	2075	2557
448	2080	2553
449	2085	2548
450	2090	2544
451	2097	2542
452	2102	2539
453	2107	2534
454	2113	2531
455	2117	2526
456	2122	2521
457	2128	2518
458	2132	2513
459	2137	2508
460	2142	2504
461	2146	2500
462	2151	2494
463	2156	2490
464	2161	2487
465	2166	2482
466	2170	2477
467	2175	2473
468	2180	2468
469	2186	2465
470	2192	2462
471	2197	2458
472	2201	2453
473	2207	2449
474	2212	2445
475	2217	2440
476	2222	2436
477	2228	2433
478	2233	2429
479	2238	2424
480	2243	2420
481	2248	2416
482	2252	2411
483	2258	2407
484	2262	2402
485	2267	2398
486	2272	2393
487	2277	2389
488	2281	2384
489	2287	2380
490	2291	2375
491	2296	2370
492	2300	2365
493	2306	2362
494	2311	2357
495	2315	2352
496	2321	2349
497	2325	2344
498	2329	2338
499	2335	2335
500	2340	2331
501	2344	2326
502	2349	2321
503	2354	2317
504	2358	2311
505	2362	2306
506	2367	2302
507	2371	2297
508	2376	2292
509	2380	2287
510	2385	2283
511	2390	2278
512	2394	2273
513	2399	2268
514	2404	2264
515	2408	2259
516	2413	2254
517	2418	2250
518	2423	2245
519	2427	2240
520	2433	2236
521	2437	2232
522	2442	2227
523	2447	2223
524	2452	2218
525	2456	2213
526	2460	2208
527	2465	2204
528	2469	2199
529	2474	2194
530	2478	2189
531	2483	2184
532	2486	2178
533	2490	2173
534	2494	2168
535	2499	2163
536	2503	2158
537	2507	2153
538	2513	2149
539	2518	2145
540	2522	2140
541	2527	2136
542	2533	2132
543	2537	2127
544	2541	2121
545	2546	2117
546	2551	2112
547	2555	2107
548	2560	2103
549	2564	2098
550	2569	2093
551	2573	2088
552	2578	2084
553	2582	2079
554	2586	2074
555	2591	2069
556	2596	2064
557	2600	2059
558	2605	2055
559	2611	2052
560	2617	2048
561	2622	2043
562	2627	2039
563	2632	2034
564	2636	2029
565	2641	2025
566	2645	2020
567	2649	2014
568	2653	2009
569	2658	2005
570	2662	2000
571	2666	1995
572	2670	1990
573	2675	1985
574	2680	1980
575	2684	1976
576	2690	1972
577	2694	1967
578	2698	1962
579	2702	1956
580	2707	1952
581	2711	1947
582	2715	1942
583	2721	1938
584	2726	1934
585	2731	1929
586	2736	1925
587	2741	1920
588	2745	1915
589	2749	1910
590	2754	1906
591	2759	1901
592	2763	1896
593	2769	1892
594	2773	1887
595	2777	1883
596	2782	1878
597	2787	1873
598	2792	1869
599	2796	1864
600	2801	1860
601	2806	1855
602	2811	1850
603	2816	1846
604	2821	1842
605	2826	1837
606	2830	1832
607	2836	1828
608	2840	1823
609	2845	1819
610	2850	1815
611	2855	1810
612	2859	1805
613	2864	1800
614	2869	1796
615	2873	1791
616	2878	1786
617	2883	1782
618	2887	1777
619	2892	1772
620	2897	1768
621	2901	1763
622	2906	1758
623	2909	1753
624	2915	1749
625	2920	1744
626	2925	1740
627	2931	1736
628	2935	1731
629	2939	1726
630	2945	1722
631	2949	1717
632	2954	1712
633	2958	1707
634	2963	1703
635	2968	1698
636	2972	1694
637	2977	1689
638	2982	1684
639	2988	1680
640	2994	1676
641	2998	1672
642	3003	1667
643	3008	1663
644	3013	1658
645	3018	1654
646	3021	1648
647	3027	1644
648	3032	1639
649	3036	1635
650	3042	1631
651	3047	1626
652	3051	1621
653	3056	1617
654	3061	1612
655	3066	1607
656	3070	1603
657	3075	1598
658	3080	1594
659	3085	1589
660	3090	1585
661	3095	1580
662	3099	1575
663	3105	1571
664	3109	1566
665	3114	1561
666	3118	1557
667	3125	1553
668	3130	1549
669	3136	1544
670	3141	1540
671	3146	1535
672	3150	1530
673	3156	1526
674	3160	1521
675	3165	1517
676	3171	1513
677	3175	1508
678	3180	1503
679	3185	1499
680	3189	1494
681	3194	1489
682	3199	1484
683	3204	1480
684	3209	1475
685	3214	1471
686	3219	1466
687	3224	1462
688	3229	1457
689	3234	1453
690	3239	1448
691	3244	1444
692	3250	1440
693	3255	1435
694	3260	1430
695	3265	1426
696	3270	1421
697	3274	1416
698	3279	1412
699	3284	1407
700	3289	1403
701	3293	1398
702	3299	1394
703	3304	1389
704	3308	1384
705	3314	1380
706	3318	1375
707	3323	1370
708	3328	1365
709	3333	1361
710	3338	1356
711	3343	1352
712	3349	1348
713	3353	1343
714	3358	1338
715	3363	1334
716	3368	1329
717	3372	1324
718	3379	1320
719	3384	1316
720	3389	1311
721	3395	1307
722	3399	1302
723	3404	1297
724	3409	1293
725	3414	1288
726	3418	1283
727	3423	1278
728	3428	1274
729	3433	1269
730	3438	1265
731	3443	1260
732	3448	1256
733	3453	1251
734	3458	1247
735	3463	1242
736	3468	1237
737	3473	1233
738	3478	1228
739	3482	1223
740	3487	1218
741	3492	1214
742	3497	1209
743	3502	1205
744	3507	1200
745	3512	1196
746	3517	1191
747	3522	1186
748	3527	1182
749	3532	1177
750	3537	1172
751	3542	1168
752	3547	1163
753	3551	1158
754	3557	1154
755	3561	1149
756	3566	1144
757	3571	1140
758	3576	1135
759	3581	1130
760	3587	1126
761	3592	1121
762	3597	1117
763	3602	1112
764	3607	1108
765	3612	1103
766	3617	1099
767	3622	1094
768	3627	1089
769	3632	1084
770	3637	1080
771	3642	1075
772	3647	1071
773	3652	1066
774	3657	1061
775	3662	1057
776	3667	1052
777	3672	1047
778	3677	1043
779	3682	1038
780	3687	1034
781	3691	1029
782	3696	1024
783	3701	1019
784	3706	1015
785	3710	1010
786	3716	1005
787	3721	1001
788	3725	996
789	3731	991
790	3735	987
791	3740	982
792	3744	977
793	3749	972
794	3754	968
795	3759	963
796	3766	959
797	3772	954
798	3776	950
799	3781	945
800	3786	940
801	3791	935
802	3796	931
803	3801	926
804	3805	921
805	3809	917
806	3814	912
807	3819	907
808	3823	902
809	3829	898
810	3833	893
811	3838	888
812	3843	884
813	3848	879
814	3854	874
815	3859	870
816	3864	865
817	3869	860
818	3874	856
819	3879	851
820	3884	846
821	3888	842
822	3893	837
823	3898	832
824	3904	828
825	3909	823
826	3914	818
827	3919	814
828	3924	809
829	3929	804
830	3933	800
831	3939	795
832	3943	790
833	3948	785
834	3952	781
835	3957	776
836	3963	771
837	3968	767
838	3973	762
839	3978	757
840	3982	753
841	3988	748
842	3992	743
843	3997	738
844	4002	734
845	4008	729
846	4012	724
847	4017	720
848	4021	715
849	4026	710
850	4030	705
851	4036	701
852	4040	696
853	4045	691
854	4050	686
855	4055	682
856	4060	677
857	4065	672
858	4070	668
859	4075	663
860	4080	658
861	4086	654
862	4091	649
863	4096	644
864	4102	640
865	4107	635
866	4112	630
867	4116	626
868	4121	621
869	4126	616
870	4130	611
871	4136	607
872	4141	602
873	4146	597
874	4151	593
875	4157	588
876	4163	583
877	4169	579
878	4175	574
879	4180	570
880	4185	565
881	4190	560
882	4195	555
883	4200	551
884	4204	546
885	4209	541
886	4214	536
887	4219	532
888	4224	527
889	4229	522
890	4233	517
891	4238	513
892	4244	508
893	4249	503
894	4253	499
895	4258	494
896	4263	489
897	4268	484
898	4273	480
899	4278	475
900	4283	470
901	4287	465
902	4293	461
903	4297	456
904	4302	451
905	4307	446
906	4311	442
907	4316	437
908	4320	432
909	4325	427
910	4330	423
911	4334	418
912	4340	413
913	4345	408
914	4349	404
915	4354	399
916	4359	394
917	4364	389
918	4368	385
919	4373	380
920	4378	375
921	4383	370
922	4388	366
923	4393	361
924	4397	356
925	4402	351
926	4406	347
927	4411	342
928	4415	337
929	4421	332
930	4426	328
931	4430	323
932	4435	318
933	4440	313
934	4444	309
935	4449	304
936	4454	299
937	4459	294
938	4464	289
939	4469	285
940	4473	280
941	4478	275
942	4482	270
943	4488	266
944	4493	261
945	4498	256
946	4503	252
947	4507	247
948	4512	242
949	4517	237
950	4522	232
951	4526	228
952	4531	223
953	4536	218
954	4541	213
955	4546	209
956	4554	204
957	4560	199
958	4566	195
959	4571	190
960	4577	185
961	4583	181
962	4590	176
963	4596	171
964	4601	166
965	4607	162
966	4613	157
967	4618	152
968	4624	147
969	4630	143
970	4635	138
971	4640	133
972	4646	128
973	4651	124
974	4657	119
975	4662	114
976	4668	109
977	4673	105
978	4679	100
979	4685	95
980	4690	90
981	4696	86
982	4701	81
983	4707	76
984	4712	71
985	4717	66
986	4722	62
987	4728	57
988	4733	52
989	4738	47
990	4743	43
991	4748	38
992	4753	33
993	4759	28
994	4764	23
995	4769	19
996	4775	14
997	4780	9
998	4785	4
999	4790	0
