iter	RMSE
349	54.58508058
350	54.52812609
351	54.50275082
352	54.48416674
353	54.45677334
354	54.40385932
355	54.34646699
356	54.31793342
357	54.27478262
358	54.23294396
359	54.1989949
360	54.16607508
361	54.14045533
362	54.10707358
363	54.06909268
364	54.02135609
365	53.99504933
366	53.95654527
367	53.93815601
368	53.91434877
369	53.86441041
370	53.83580426
371	53.79327619
372	53.73947066
373	53.73882988
374	53.73821046
375	53.69609003
376	53.69549076
377	53.66041387
378	53.63829658
379	53.60996099
380	53.56485017
381	53.53091334
382	53.49226357
383	53.45008226
384	53.41241456
385	53.41183741
386	53.37729714
387	53.34045941
388	53.30161816
389	53.28344872
390	53.24557036
391	53.19361143
392	53.19303673
393	53.17584823
394	53.13608903
395	53.09070401
396	53.05157992
397	53.01325007
398	53.01269252
399	52.98579923
400	52.95541901
401	52.92084122
402	52.87841891
403	52.85758614
404	52.83167233
405	52.83114851
406	52.78969921
407	52.75716619
408	52.73038908
409	52.72989509
410	52.70782381
411	52.67766515
412	52.64693703
413	52.62054846
414	52.58471013
415	52.55870898
416	52.53568358
417	52.51432203
418	52.48892365
419	52.45068688
420	52.42792268
421	52.4274195
422	52.38410854
423	52.36621781
424	52.33763134
425	52.30520724
426	52.30471147
427	52.27699088
428	52.25104222
429	52.23029339
430	52.19383171
431	52.1654416
432	52.11395437
433	52.0815523
434	52.06235425
435	52.0364521
436	52.01005429
437	51.967022
438	51.96642698
439	51.94278673
440	51.901454
441	51.87830972
442	51.85654703
443	51.85568805
444	51.78698509
445	51.73669441
446	51.73624886
447	51.73580779
448	51.68163062
449	51.6448552
450	51.61501146
451	51.55455819
452	51.53598989
453	51.49456403
454	51.46790153
455	51.44122674
456	51.41680538
457	51.39307877
458	51.37359406
459	51.35029182
460	51.30428885
461	51.27608661
462	51.27566293
463	51.25908993
464	51.23155118
465	51.21281126
466	51.18621111
467	51.15947838
468	51.1591125
469	51.1255805
470	51.09445685
471	51.07453857
472	51.07415538
473	51.0434487
474	51.0191376
475	50.99584331
476	50.96522712
477	50.93874729
478	50.91663647
479	50.91626094
480	50.90381561
481	50.86723206
482	50.84096589
483	50.81356146
484	50.79792121
485	50.76278922
486	50.72896997
487	50.68574891
488	50.66794592
489	50.63413628
490	50.63377066
491	50.59507434
492	50.57772929
493	50.55072971
494	50.52985313
495	50.4903272
496	50.4736169
497	50.44695325
498	50.44428653
499	50.42130537
500	50.40089457
501	50.37497952
502	50.35721288
503	50.34012331
504	50.3390304
